target,status,exit_code,mode
env,PASS,0,normal
build,PASS,0,normal
up,TIMEOUT,124,timeout
up-detached,PASS,0,timeout
down,PASS,0,normal
restart,TIMEOUT,124,timeout
ai,PASS,0,timeout
p2p,PASS,0,timeout
server,TIMEOUT,124,timeout
infra,PASS,0,timeout
ai-pipeline,PASS,0,normal
ai-train,PASS,0,normal
ai-demo,PASS,0,normal
ai-backtest,PASS,0,normal
ai-backtest-2w,PASS,0,normal
ai-backtest-1x2,PASS,0,normal
ai-backtest-goals,PASS,0,normal
ai-backtest-halftime,PASS,0,normal
ai-backtest-full,PASS,0,normal
ai-tqu-test,PASS,0,normal
ai-shell,TIMEOUT,124,timeout
ai-continuous,TIMEOUT,124,timeout
ai-continuous-demo,TIMEOUT,124,timeout
p2p-simulate,PASS,0,normal
p2p-continuous,TIMEOUT,124,timeout
p2p-scale-test,PASS,0,normal
p2p-churn-test,PASS,0,normal
p2p-shell,TIMEOUT,124,timeout
server-scrape,PASS,0,timeout
server-health,PASS,0,timeout
server-matches,PASS,0,timeout
server-teams,PASS,0,timeout
db-migrate,PASS,0,timeout
db-seed,PASS,0,timeout
db-shell,TIMEOUT,124,timeout
db-reset,PASS,0,timeout
redis-shell,FAIL,2,timeout
logs,TIMEOUT,124,timeout
logs-ai,PASS,0,timeout
logs-p2p,PASS,0,timeout
logs-server,PASS,0,timeout
test,FAIL,2,normal
test-ai,FAIL,2,normal
test-p2p,FAIL,2,normal
clean,PASS,0,normal
clean-all,PASS,0,timeout
clean-data,PASS,0,normal
health,PASS,0,timeout
status,PASS,0,normal
ports,PASS,0,normal
help,PASS,0,normal
